order_id,order_date,city,product,category,quantity,price
1001,2025-01-10,Pune,Laptop,Electronics,2,50000
1002,2025-01-11,Mumbai,Mobile,Electronics,3,20000
1003,2025-01-11,Pune,Headphones,Accessories,5,2000
1004,2025-01-12,Nagpur,Keyboard,Accessories,4,1500
1005,2025-01-13,Mumbai,Laptop,Electronics,1,50000
1006,2025-01-14,Pune,Mobile,Electronics,2,22000
1007,2025-01-15,Nagpur,Laptop,Electronics,1,52000
1008,2025-01-16,Mumbai,Headphones,Accessories,6,1800
1009,2025-01-02,Bangalore,Mobile,Electronics,3,22000
1010,2025-01-28,Guwahati,Laptop,Electronics,4,52000
1011,2025-01-22,Ahmedabad,Headphones,Accessories,10,1800
